"customer_id","no_of_days_rented","case"
459,"3 days 20:46:00","NO NEED FOR REMINDER MAIL YET"
408,"7 days 23:09:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
333,"9 days 02:39:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
222,"8 days 05:28:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
549,"2 days 02:24:00","NO NEED FOR REMINDER MAIL YET"
269,"4 days 21:23:00","NO NEED FOR REMINDER MAIL YET"
239,"3 days 00:02:00","NO NEED FOR REMINDER MAIL YET"
126,"3 days 00:22:00","NO NEED FOR REMINDER MAIL YET"
399,"6 days 22:42:00","NO NEED FOR REMINDER MAIL YET"
142,"8 days 20:47:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
261,"5 days 05:25:00","NO NEED FOR REMINDER MAIL YET"
334,"5 days 04:06:00","NO NEED FOR REMINDER MAIL YET"
446,"1 day 02:25:00","NO NEED FOR REMINDER MAIL YET"
319,"9 days 02:51:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
316,"1 day 03:59:00","NO NEED FOR REMINDER MAIL YET"
575,"1 day 23:37:00","NO NEED FOR REMINDER MAIL YET"
19,"6 days 05:25:00","NO NEED FOR REMINDER MAIL YET"
456,"6 days 04:43:00","NO NEED FOR REMINDER MAIL YET"
185,"2 days 00:32:00","NO NEED FOR REMINDER MAIL YET"
388,"23:02:00","NO NEED FOR REMINDER MAIL YET"
509,"1 day 02:33:00","NO NEED FOR REMINDER MAIL YET"
438,"4 days 03:54:00","NO NEED FOR REMINDER MAIL YET"
350,"1 day 22:22:00","NO NEED FOR REMINDER MAIL YET"
37,"2 days 18:04:00","NO NEED FOR REMINDER MAIL YET"
371,"5 days 20:58:00","NO NEED FOR REMINDER MAIL YET"
301,"4 days 21:32:00","NO NEED FOR REMINDER MAIL YET"
232,"1 day 05:44:00","NO NEED FOR REMINDER MAIL YET"
44,"4 days 20:44:00","NO NEED FOR REMINDER MAIL YET"
430,"4 days 23:11:00","NO NEED FOR REMINDER MAIL YET"
369,"5 days 03:10:00","NO NEED FOR REMINDER MAIL YET"
230,"19:49:00","NO NEED FOR REMINDER MAIL YET"
272,"1 day 23:40:00","NO NEED FOR REMINDER MAIL YET"
597,"3 days 19:51:00","NO NEED FOR REMINDER MAIL YET"
484,"2 days 02:38:00","NO NEED FOR REMINDER MAIL YET"
88,"3 days 19:55:00","NO NEED FOR REMINDER MAIL YET"
535,"3 days 20:19:00","NO NEED FOR REMINDER MAIL YET"
302,"6 days 20:11:00","NO NEED FOR REMINDER MAIL YET"
207,"5 days 22:23:00","NO NEED FOR REMINDER MAIL YET"
413,"2 days 18:03:00","NO NEED FOR REMINDER MAIL YET"
174,"7 days 19:16:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
523,"5 days 21:23:00","NO NEED FOR REMINDER MAIL YET"
532,"1 day 01:15:00","NO NEED FOR REMINDER MAIL YET"
207,"4 days 05:03:00","NO NEED FOR REMINDER MAIL YET"
436,"8 days 03:57:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
7,"8 days 02:14:00","SEND CUSTOMER A REMINDER MAIL TO RETURN DVD"
35,"4 days 20:59:00","NO NEED FOR REMINDER MAIL YET"
